,Employment Cost Index: Wages and Salaries: Private Industry Workers,Employment Cost Index: Total compensation: All Civilian,Employment Cost Index: Wages and salaries for Private industry workers in Aircraft manufacturing,Unemployment Rate,Labor Force Participation Rate,"All Employees, Total Nonfarm",Unemployment Rate in California,Unemployment Rate in Texas,Unemployment Rate in New York,"Unemployment Rate in Austin-Round Rock, TX (MSA)","Unemployment Rate in Dallas-Fort Worth-Arlington, TX (MSA)","Unemployment Rate in Seattle-Tacoma-Bellevue, WA (MSA)","Unemployment Rate in Los Angeles County, CA","Unemployment Rate in Miami-Dade County, FL","Unemployment Rate in San Francisco County/City, CA",Unemployment Rate in Great Lakes BEA Region (DISCONTINUED),Unemployment Rate in Southeast BEA Region (DISCONTINUED),Unemployment Rate in New England BEA Region (DISCONTINUED),Initial Claims,Continued Claims (Insured Unemployment),4-Week Moving Average of Initial Claims,Total Nonfarm Private Payroll Employment,Total Nonfarm Private Payroll Employment (DISCONTINUED),Adjusted Unemployment Rate in Japan (DISCONTINUED),Unemployment Rate in the United States (DISCONTINUED),Adjusted Unemployment Rate in Italy (DISCONTINUED),Change in Total Nonfarm Payroll Employment in Texas,Mining: Oil and Gas Extraction Payroll Employment in Texas,Retail Trade: Automobile Dealers Payroll Employment in Texas,All Employees: State Government in New York,Average Hourly Earnings of All Employees: Total Private in California,"All Employees: Total Nonfarm in New York City, NY","Average Weekly Wages for Employees in Total Covered Establishments in Houston-Sugar Land-Baytown, TX (MSA)","Average Weekly Wages for Employees in Total Covered Establishments in New Orleans-Metairie-Kenner, LA (MSA)","Number of Private Establishments for All Industries in Spencer County, KY",Hornstein-Kudlyak-Lange Non-Employment Index,Hornstein-Kudlyak-Lange Non-Employment Index including People Working Part-Time for Economic Reasons,Initial Claims in California,Continued Claims (Insured Unemployment) in California,Initial Claims in Texas
1997-03-01,,,,5.2,67.1,121989.0,6.7,5.7,6.6,3.3,4.0,4.4,7.3,7.1,4.0,4.445,5.028,4.588,321000.0,2370000.0,317750.0,,,,,,34.76051659999939,71.84329045,5.792202642151856,,,3428.7,,,,8.529497942176489,9.54001913308936,62571.0,466979.0,12235.0
1997-04-01,,,,5.1,67.1,122284.0,6.6,5.6,6.5,2.8,3.5,3.5,6.8,6.8,3.9,4.344,4.95,4.535,,,,,,,,,29.4496108000003,70.333547052,-5.030425765402436,,,3433.6,653.047767961501,518.708950056771,138.0,8.42786038989585,9.47167288620126,,,
1997-05-01,,,,4.9,67.1,122551.0,6.5,5.5,6.5,2.9,3.6,4.0,6.6,6.6,3.9,4.255,4.882,4.469,,,,,,,,,37.994595899999695,70.592691637,0.6645866246762111,,,3436.3,,,,8.41995646720793,9.41482097854012,,,
1997-06-01,,,,5.0,67.1,122816.0,6.4,5.5,6.5,3.4,4.1,4.1,7.0,6.7,4.5,4.196,4.817,4.391,,,,,,,,,25.359016300000803,70.795641576,-4.43151604728802,,,3445.3,,,,8.37625334121056,9.359954740171759,,,
1997-07-01,,,,4.9,67.2,123112.0,6.3,5.4,6.5,3.2,4.0,4.1,7.3,6.6,4.7,4.173,4.747,4.302,,,,,,,,,41.504726299999675,72.576151637,10.089738753428911,,,3463.3,672.211815202512,526.9037457793801,136.0,8.245060390605111,9.25893527125794,,,
1997-08-01,,,,4.8,67.2,123092.0,6.2,5.3,6.4,3.2,3.8,3.8,7.0,6.6,4.7,4.181,4.671,4.207,,,,,,,,,19.82737730000008,72.40176553,6.013244329972367,,,3468.7,,,,8.20667785005337,9.204788084252991,,,
1997-09-01,,,,4.9,67.1,123577.0,6.2,5.2,6.3,3.1,3.8,3.9,6.8,7.0,4.5,4.199,4.584,4.11,,,,,,,,,37.864054899999246,72.455266273,3.0241112557580108,,,3479.3,,,,8.283238392190349,9.26443643867489,,,
1997-10-01,,,,4.7,67.1,123923.0,6.1,5.1,6.2,2.8,3.4,3.6,6.3,6.5,4.0,4.214,4.5,4.02,,,,,,,,,24.39446880000105,72.716435253,2.299567766960786,,,3484.8,683.183896916143,544.7688390067179,137.0,8.18062500700322,9.15891240098143,,,
1997-11-01,,,,4.6,67.2,124230.0,6.1,5.0,6.2,2.7,3.2,3.4,6.1,6.1,3.6,4.206,4.428,3.936,313000.0,2201000.0,310500.0,,,,,,27.409574199999042,72.586629618,-1.1648704469745197,,,3484.9,,,,8.1522364457893,9.12522318614702,61238.0,346985.0,12466.0
1997-12-01,,,,4.7,67.2,124551.0,6.1,5.0,6.1,2.6,3.1,3.2,6.0,6.1,3.4,4.16,4.372,3.857,,,,,,,,,19.12594739999986,72.934819716,-1.0258641056790752,,,3497.2,,,,8.1779649154349,9.1209560673392,,,
1998-01-01,,,,4.6,67.1,124813.0,6.0,4.9,6.0,3.0,3.6,3.7,6.7,6.1,3.9,4.079,4.331,3.779,,,,,,,,,46.01082590000078,72.728311015,-5.1636732029847865,256.2,,3495.0,683.903327286523,542.830863793025,145.0,8.09702194270371,9.073989141530179,,,
1998-02-01,,,,4.6,67.1,125018.0,6.0,4.9,5.9,2.7,3.4,3.7,6.4,5.9,3.6,3.98,4.3,3.701,,,,,,,,,22.834691599999132,72.475933671,-1.8193861484958829,,,3504.6,,,,8.04922243503626,8.99177212899294,,,
1998-03-01,,,,4.7,67.1,125164.0,6.0,4.9,5.8,2.7,3.4,3.9,6.6,6.6,3.9,3.891,4.279,3.623,,,,,,,,,17.586479300000065,72.091963701,1.5391396037187866,,,3513.7,,,,8.09866688353243,9.03665819229976,,,
1998-04-01,,,,4.3,67.0,125445.0,6.0,4.9,5.7,2.4,3.0,3.1,6.0,5.8,3.4,3.833,4.262,3.55,,,,,,,,,30.00215300000127,72.12710412,2.330611057878329,,,3518.8,689.917731208309,556.759622975928,148.0,7.93187165002219,8.81417111761512,,,
1998-05-01,,,,4.4,67.0,125846.0,5.9,5.0,5.6,2.6,3.3,3.6,6.1,5.7,3.4,3.822,4.254,3.49,,,,,,,,,25.638718099999096,72.305362787,2.5793498522448166,,,3525.3,,,,7.94488641380965,8.86063364926344,,,
