,Retailers: Inventories to Sales Ratio,Total Business: Inventories to Sales Ratio,Total Business Inventories,Exchange Rates (Value of Foreign Currency Relative to U.S. Dollar) in Belgium (DISCONTINUED),Employment in Manufacturing in the United Kingdom (DISCONTINUED),"Real Hourly Compensation in Manufacturing, CPI Basis, in Italy (DISCONTINUED)",Chicago Fed Midwest Manufacturing Index (DISCONTINUED),Chicago Fed Midwest Manufacturing Index for the Steel Sector Output (DISCONTINUED),Chicago Fed Midwest Manufacturing Index for the Resource Sector Output (DISCONTINUED),Current General Business Conditions; Diffusion Index for New York,Future Capital Expenditures; Diffusion Index for New York,Current New Orders; Diffusion Index for New York,Current General Activity; Diffusion Index for Federal Reserve District 3: Philadelphia,Future Capital Expenditures; Diffusion Index for Federal Reserve District 3: Philadelphia,Future New Orders; Diffusion Index for Federal Reserve District 3: Philadelphia,Current New Orders; Diffusion Index for Federal Reserve District 3: Philadelphia,Current Prices Paid; Diffusion Index for Federal Reserve District 3: Philadelphia,"Current Number of Part-Time, Temporary, and Contract Employees; Percent of Respondents Reporting Decreases for Federal Reserve District 3: Philadelphia",Current General Business Activity; Diffusion Index for Texas,Current Prices Paid for Raw Materials; Percentage Reporting Increases for Texas,Future Prices Paid for Raw Materials; Diffusion Index for Texas
2013-04-01,1.41,1.3,1676141.0,,,,96.1,91.8,91.4,4.5,20.5,2.8,0.4,9.0,34.4,15.7,19.7,6.1,-15.7,23.7,29.9
2013-05-01,1.4,1.28,1672204.0,,,,95.6,90.9,91.6,-1.1,22.7,-3.1,0.3,12.2,42.1,36.2,19.6,13.8,-6.0,21.5,26.5
2013-06-01,1.41,1.29,1675065.0,,,,96.2,91.0,91.8,4.5,3.2,-7.8,12.7,21.7,40.2,18.7,19.1,7.9,6.1,22.1,29.8
2013-07-01,1.4,1.29,1679807.0,,,,95.4,92.2,92.0,5.2,9.8,2.3,15.9,25.5,52.3,40.1,17.2,6.6,2.6,21.2,35.4
2013-08-01,1.41,1.29,1688431.0,,,,96.7,92.5,91.9,9.7,24.1,2.8,8.1,19.6,39.1,12.2,18.0,10.0,5.0,14.6,28.5
2013-09-01,1.42,1.3,1697896.0,,,,97.0,92.2,90.6,7.7,15.1,2.9,20.5,25.5,51.4,31.1,37.3,3.2,11.6,17.8,30.6
2013-10-01,1.43,1.3,1707839.0,,,,97.4,94.2,90.9,3.6,15.7,9.5,13.4,25.6,61.2,32.7,6.7,4.4,1.6,22.2,33.4
2013-11-01,1.45,1.3,1718159.0,,,,,,,2.2,9.2,-2.5,4.6,18.3,46.0,20.0,16.3,10.7,0.1,22.4,32.3
2013-12-01,1.45,1.3,1727113.0,,,,,,,3.2,8.4,1.1,3.8,14.4,44.5,21.1,13.9,3.0,3.4,27.6,41.7
2014-01-01,1.46,1.32,1732857.0,,,,,,,12.8,12.2,8.1,15.3,21.2,40.7,23.7,16.0,3.5,5.0,30.3,37.1
2014-02-01,1.44,1.31,1742476.0,,,,,,,6.8,2.5,1.9,2.4,21.5,39.5,9.2,11.6,13.0,0.6,28.3,39.6
2014-03-01,1.43,1.3,1750382.0,,,,,,,2.8,16.5,0.8,12.5,26.2,38.5,20.3,17.8,13.9,7.3,32.0,30.7
2014-04-01,1.42,1.3,1757356.0,,,,,,,4.1,23.5,-0.4,17.0,25.0,38.7,23.0,22.4,14.1,14.2,24.3,30.2
2014-05-01,1.42,1.31,1765529.0,,,,,,,17.5,19.8,8.6,18.4,23.9,42.6,27.9,25.8,11.9,13.5,32.0,36.4
2014-06-01,1.42,1.31,1769192.0,,,,,,,15.8,11.8,13.1,14.2,28.0,55.7,36.6,22.4,14.1,12.1,32.1,38.0
2014-07-01,1.43,1.3,1774651.0,,,,,,,21.0,9.1,16.5,21.4,19.6,48.8,41.7,26.6,10.4,11.2,29.6,37.1
2014-08-01,1.43,1.31,1780666.0,,,,,,,16.1,18.2,15.6,22.7,16.4,51.4,34.3,21.4,9.8,6.6,24.8,48.1
2014-09-01,1.43,1.32,1782712.0,,,,,,,29.4,13.0,17.3,21.7,21.7,44.4,30.5,20.6,16.0,9.6,23.1,36.0
2014-10-01,1.43,1.32,1786464.0,,,,,,,6.2,21.6,1.8,18.0,20.9,49.1,29.0,25.3,5.3,8.4,21.6,31.9
2014-11-01,1.43,1.34,1791932.0,,,,,,,12.0,27.7,10.3,35.6,22.8,44.3,30.7,23.5,5.3,8.7,16.7,28.6
2014-12-01,1.45,1.35,1789576.0,,,,,,,-2.5,15.6,0.4,21.6,23.4,43.8,28.8,3.1,12.7,3.0,16.7,11.7
2015-01-01,1.45,1.38,1789515.0,,,,,,,12.5,14.7,6.9,13.2,17.7,46.9,21.2,15.4,7.5,-4.6,17.5,7.8
2015-02-01,1.46,1.39,1795461.0,,,,,,,10.6,32.6,3.1,11.3,22.9,46.1,37.0,17.0,7.4,-12.9,15.9,4.8
2015-03-01,1.44,1.38,1798476.0,,,,,,,3.7,18.6,-6.3,7.2,10.9,37.5,26.6,21.1,3.7,-17.3,15.3,12.1
2015-04-01,1.45,1.38,1804475.0,,,,,,,0.1,24.5,-4.7,9.7,15.6,33.8,24.9,16.6,10.8,-16.2,18.5,19.2
2015-05-01,1.44,1.38,1809028.0,,,,,,,3.9,15.6,3.7,5.8,15.7,35.2,15.1,11.4,10.2,-18.1,17.0,19.7
2015-06-01,1.45,1.38,1820330.0,,,,,,,-4.8,11.5,-6.9,8.2,10.3,48.2,20.3,29.8,9.4,-6.8,18.3,19.9
