,Producer Price Index by Commodity: All Commodities,"Producer Price Index by Commodity: Pulp, Paper, and Allied Products: Wood Pulp",Producer Price Index by Industry: Plastics Material and Resin Manufacturing
1981-07-01,99.0,104.0,110.0
1981-08-01,99.0,104.0,110.4
1981-09-01,98.8,104.0,110.7
1981-10-01,98.9,106.1,110.9
1981-11-01,98.8,109.1,109.1
1981-12-01,98.8,109.1,109.5
1982-01-01,99.7,108.2,107.0
1982-02-01,99.8,108.2,108.3
1982-03-01,99.6,108.6,107.2
1982-04-01,99.6,102.9,108.4
1982-05-01,99.8,103.8,107.1
1982-06-01,100.0,102.4,106.7
1982-07-01,100.4,97.2,106.6
1982-08-01,100.3,96.8,107.2
1982-09-01,100.0,96.3,107.3
1982-10-01,100.2,92.4,106.9
1982-11-01,100.3,91.6,107.4
1982-12-01,100.5,91.6,107.3
1983-01-01,100.2,91.4,108.1
1983-02-01,100.5,91.2,107.6
1983-03-01,100.4,90.5,107.0
1983-04-01,100.4,90.4,107.9
1983-05-01,100.8,90.5,108.9
1983-06-01,101.0,91.0,109.4
1983-07-01,101.3,91.2,109.8
1983-08-01,101.8,91.4,110.6
1983-09-01,102.0,91.1,113.2
1983-10-01,102.2,91.6,112.0
1983-11-01,102.1,94.1,111.7
1983-12-01,102.3,93.8,113.1
1984-01-01,102.9,96.6,114.6
1984-02-01,103.2,98.7,114.4
1984-03-01,103.9,99.9,114.7
1984-04-01,104.0,105.8,115.4
1984-05-01,104.1,107.6,116.0
1984-06-01,104.0,108.2,116.2
1984-07-01,104.2,108.3,115.7
1984-08-01,103.8,108.2,115.7
1984-09-01,103.4,107.9,116.4
1984-10-01,103.4,107.7,115.5
1984-11-01,103.7,104.8,115.5
1984-12-01,103.5,103.4,114.1
1985-01-01,103.4,100.6,114.1
1985-02-01,103.3,96.2,114.3
1985-03-01,103.1,93.3,114.5
1985-04-01,103.3,91.9,114.1
1985-05-01,103.5,91.2,113.5
1985-06-01,103.3,91.8,114.6
1985-07-01,103.2,91.0,114.3
1985-08-01,102.7,89.0,113.9
1985-09-01,102.1,88.3,113.4
1985-10-01,102.9,88.3,112.0
1985-11-01,103.4,88.0,112.1
1985-12-01,103.6,87.4,111.9
1986-01-01,103.2,88.0,112.2
1986-02-01,101.7,87.4,112.6
1986-03-01,100.3,89.0,112.5
1986-04-01,99.6,90.4,110.7
1986-05-01,100.0,92.6,110.4
1986-06-01,99.9,94.4,110.3
1986-07-01,99.4,97.1,110.8
1986-08-01,99.3,96.8,110.2
1986-09-01,99.4,97.8,108.7
1986-10-01,99.7,99.5,109.6
1986-11-01,99.8,101.1,110.2
1986-12-01,99.7,102.0,108.8
1987-01-01,100.5,105.5,109.1
1987-02-01,101.0,105.4,108.5
1987-03-01,101.2,107.6,109.7
1987-04-01,101.9,110.2,114.1
1987-05-01,102.6,111.1,114.7
1987-06-01,103.0,111.2,117.3
1987-07-01,103.5,111.4,120.9
1987-08-01,103.8,112.3,120.9
1987-09-01,103.7,112.4,121.9
1987-10-01,104.1,115.7,124.2
1987-11-01,104.2,117.1,124.9
1987-12-01,104.2,117.7,125.1
1988-01-01,104.6,122.9,130.9
1988-02-01,104.8,126.8,133.5
1988-03-01,104.9,127.0,134.4
1988-04-01,105.8,134.6,137.1
1988-05-01,106.5,136.1,141.8
1988-06-01,107.2,135.6,142.8
1988-07-01,107.9,139.2,147.1
1988-08-01,108.0,141.6,150.7
1988-09-01,108.1,142.2,152.1
1988-10-01,108.2,143.5,152.1
1988-11-01,108.3,144.7,152.7
1988-12-01,109.0,145.7,153.0
1989-01-01,110.5,151.4,153.4
1989-02-01,110.8,152.1,154.7
1989-03-01,111.5,153.7,154.3
1989-04-01,112.3,155.7,154.5
1989-05-01,113.2,158.3,153.4
1989-06-01,112.9,158.4,151.8
1989-07-01,112.8,159.5,148.9
1989-08-01,112.0,159.5,141.9
1989-09-01,112.4,159.5,140.5
1989-10-01,112.8,160.7,138.9
1989-11-01,112.7,160.6,137.8
1989-12-01,113.0,159.6,137.4
1990-01-01,114.9,159.9,137.7
1990-02-01,114.4,159.5,137.3
1990-03-01,114.2,158.7,138.1
1990-04-01,114.1,155.4,137.6
1990-05-01,114.6,154.2,137.5
1990-06-01,114.3,152.7,138.0
1990-07-01,114.5,151.1,137.1
1990-08-01,116.5,150.2,137.5
1990-09-01,118.4,147.2,137.7
1990-10-01,120.8,143.4,140.5
1990-11-01,120.1,141.6,145.3
1990-12-01,118.7,141.2,149.6
1991-01-01,119.0,132.9,150.0
1991-02-01,117.2,130.4,149.5
1991-03-01,116.2,129.1,144.7
1991-04-01,116.0,125.4,141.1
1991-05-01,116.5,122.5,138.5
1991-06-01,116.4,120.6,135.9
1991-07-01,116.1,116.7,132.8
1991-08-01,116.2,114.2,132.8
1991-09-01,116.1,112.4,132.5
1991-10-01,116.4,108.6,132.3
1991-11-01,116.4,109.3,131.8
1991-12-01,115.9,108.3,133.5
1992-01-01,115.6,111.3,132.0
1992-02-01,116.0,113.7,132.0
1992-03-01,116.1,114.6,130.2
1992-04-01,116.3,118.8,130.1
1992-05-01,117.2,120.7,131.3
1992-06-01,118.0,121.1,129.9
1992-07-01,117.9,123.9,132.8
1992-08-01,117.7,124.0,132.5
1992-09-01,118.0,123.7,133.2
1992-10-01,118.1,122.1,133.2
1992-11-01,117.8,117.9,132.4
1992-12-01,117.6,114.5,132.6
1993-01-01,118.0,111.7,132.8
1993-02-01,118.4,108.3,132.9
1993-03-01,118.7,105.3,132.5
1993-04-01,119.3,106.4,132.2
1993-05-01,119.7,107.0,131.5
1993-06-01,119.5,106.7,132.0
1993-07-01,119.2,104.5,132.2
1993-08-01,118.7,102.5,132.8
1993-09-01,118.7,101.8,132.7
1993-10-01,119.1,99.6,132.3
